"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\ProfessionalCred.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 5, 14
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\ProfessionalCredentials.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 114, 0, 0, 36, 21, 171
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\ProfessionalCredentialsForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 21, 7, 53
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\SocialMedia.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 45, 0, 0, 4, 3, 52
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\useGetProfileCredentials.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\professionalCredentials\useSetProfileCredentials.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\submissionAndReview\SubmissionAndReview.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 1, 9, 90
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\submissionAndReview\useSubmitProfile.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 1, 2, 20
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\completeProfile\subscriptionPricing\SubscriptionPricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 3, 64
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\AddPackage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 175, 0, 0, 0, 12, 187
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\PackagesTrainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 43
"c:\courses\Graduation Project\ProFit Admin\profit-admin\src\features\Trainer\packages\ProfilePackagesTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
